Society	"Society contact phone"	"Country ISO code"	"Main Address"	City	"Postal code"	Website	"Year of constitution"	"Society legal name"	"Scapr join date"	"Membership status"	"Rightsholder represented"
"NUOVO IMAIE"	"+39 (0) 646 208 203"	Italy	"Via Parigi 11, 00185 Roma"	Roma	00185	"&lt;a href=&quot;http://www.nuovoimaie.it&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.nuovoimaie.it&lt;/a&gt;"	2010	"Nuovo Istituto per la tutela dei diritti degli Artisti Interpreti Esecutori"	01/05/2012	Ordinary	"Performers-only CMO"
PLAYRIGHT	"+32 (0)2 421 53 42"	Belgique	"Belgicalaan 14"	Brussels	1080.0	"&lt;a href=&quot;http://www.playright.be&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.playright.be&lt;/a&gt;"		"PlayRight C.V.B.A."	05/01/1992	Ordinary	"Performers-only CMO"
PPL	"020 7534 1185"	GBR	"1 Upper James Street"	London	"W1F 9DE"	http://www.ppluk.com	1934	"Phonographic Performance Limited"	01/05/2013	Ordinary	"Multi-rightholder CMO"
"PRAVA INTERPRETATORA"	+381.11.3223.831	SRB	"Majke Jevrosime 38"	Belgrad	11000.0	"&lt;a href=&quot;https://www.pravainterpretatora.org/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.pravainterpretatora.org/&lt;/a&gt;"	2007	"Organization for Collective Administration of Performers&#039; Rights"	01/05/2013	Ordinary	"Performers-only CMO"
PROPHON	"+359 2 9981 45 41"	Bulgaria	"77 Tzar Assen Str"	Sofia	1463	"&lt;a href=&quot;https://www.prophon.org/en&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.prophon.org/en&lt;/a&gt;"	1998	"Collecting Society of Neighbouring Rights of Phonogram And Music Video Producers and Performing Artists in Private Interest"	01/05/2015	Ordinary	"Multi-rightholder CMO"
RAAP	"+353 1 278 8724"	Irland	"RAAP House,15 Carysfort Avenue, Blackrock, Co. Dublin"	"Blackrock, Co.Dublin"		"&lt;a href=&quot;http://www.raap.ie&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.raap.ie&lt;/a&gt;"	2001	"Recorded Artists Actors Performers"	01/05/2002	Ordinary	"Performers-only CMO"
RASI	"+39 06 943 59 83"	Italy	"Via Po 43 "	Roma	"00198 "	"&lt;a href=&quot;https://www.reteartistispettacolo.it&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.reteartistispettacolo.it&lt;/a&gt;"	2012	"Soc.Coop. a.r.l. RETE ARTISTI SPETTACOLO PER L’INNOVAZIONE "	2025	"Associated Member"	"Performers-only CMO"
RAYS	"+994 12 310 00 15"	"Azerbaijan "	"25, S.Vurgun street Baku Residence, Office 63"	Baku		"&lt;a href=&quot;https://rays.az/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://rays.az/&lt;/a&gt;"	2022	RAYS	29/05/2024	Associated	"Multi-rightholder CMO"
RPM	"+60 3 6411 8336"	Malaysia	"Unit 15-09, Menara Mont Kiara, Office Suites, 1 Mont Kiara, No. 1, Jalan Kiara"	"Kuala Lumpur"	50480	"&lt;a href=&quot;https://www.rpm.my&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.rpm.my&lt;/a&gt;"	2012	"Recording Performers Malaysia Berhad"	01/05/2014	Associated	"Performers-only CMO"
SAGAI	"+54 1152190632"	Argentina	"Marcelo T. de Alvear 1490"	"Buenos Aires"	C1060AAB	"&lt;a href=&quot;https://www.sagai.org&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.sagai.org&lt;/a&gt;"	2006	"Sociedad Argentina de Gestión de Actores Intérpretes - Asociación Civil SAGAI"	2025	"Associated Member"	"Performers-only CMO"
SAMI	"+46 84533400"	Sweden	"Regeringsgatan 74, S-111 39 Stockholm"	Stockholm	"111 39"	"&lt;a href=&quot;https://www.sami.se&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.sami.se&lt;/a&gt;"	1963	"Swedish Artists and Musicians Interest Organisation"	05/01/1988	Ordinary	"Performers-only CMO"
SAMPRA	"+27 11 561 9660"	"South Africa"	"Sunnyside Office Park, Sentinel House, 32 Princess of Wales Terrace, Parktown"	Johannesburg	2001	"&lt;a href=&quot;https://www.sampra.org.za&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.sampra.org.za&lt;/a&gt;"	2009	"Performers&#039; Organisation of South Africa Trust"	01/05/2015	Ordinary	"Multi-rightholder CMO"
SAWP	"+48 22 624 71 27"	Poland	"ul. Tagore 3"	Warszawa	02-647	"&lt;a href=&quot;https://www.sawp.pl&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.sawp.pl&lt;/a&gt;"	1993	"Stowarzyszenie Artystow Wykonawcow Utworow Muzycznych i Slowno-Muzycznych SAWP"	01/05/2003	Ordinary	"Performers-only CMO"
SCD	"+56 2 2370 8000"	Chile	"Casa Central SCD: Condell 346, Providencia. "	"Santiago de Chile"		"&lt;a href=&quot;https://www.scd.cl&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.scd.cl&lt;/a&gt;"	1987	"Sociedad Chilena de Autores e Intérpretes Musicales"	2025	"Associated Member"	"Multi-rightholder CMO"
SENA	"+31 356 251 700"	"The Netherlands"	"Catharina van Renneslaan 20"	Hilversum	"1217 CX"	"&lt;a href=&quot;http://www.sena.nl&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.sena.nl&lt;/a&gt;"	1993	"Stichting ter Exploitatie van Naburige Rechten"	01/05/2010	Ordinary	"Multi-rightholder CMO"
SFH	"+354 899 5687"	Iceland	"Austurstond 3"	Seltjarnarnes	170.0	"&lt;a href=&quot;https://sfh.is&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://sfh.is&lt;/a&gt;"	1973	"Samband flytjenda og hljomplotuframlei?end"	31/05/1995	Ordinary	"Performers-only CMO"
SLOVGRAM	"+421 2 5296 3166"	Slovakia	"Jakubovo Namestie 14"	Bratislava	81348.0	"&lt;a href=&quot;http://www.slovgram.sk&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.slovgram.sk&lt;/a&gt;"	1991	"Joint collecting society for performers and audio &amp; video producers"	05/01/1992	Ordinary	"Multi-rightholder CMO"
SOCINPRO	"+55 (21) 2220 3580"	Brazil	"Rua Presidente Wilson, 210 - 9?"	"Rio de Janeiro"	20030-021	"&lt;a href=&quot;http://www.socinpro.org.br&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.socinpro.org.br&lt;/a&gt;"	1962	"Sociedade Brasileira de Administracao e Protecao de Direitos Intelectuais"	01/05/2019	Associated	"Multi-rightholder CMO"
SODAV	"+221 33 889 01 86"	Senegal	"7 Rue Saint Michel x Ngalandou Diouf"	Dakar		"&lt;a href=&quot;https://www.lasodav.sn&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.lasodav.sn&lt;/a&gt;"	2013	"Société Sénégalaise du Droit d’Auteur et Droits Voisins"	2025	"Associated Member"	"Multi-rightholder CMO"
SPEDIDAM	"+33 1 44 18 58 58"	France	"16 rue Amelie 75007 Paris"	"Paris Cedex 07"	75343.0	"&lt;a href=&quot;https://spedidam.fr/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://spedidam.fr/&lt;/a&gt;"	1959	"Societe de perception et de distribution des droits des artistes-interpretes"	05/01/1988	Ordinary	"Performers-only CMO"
STOART	"+48 22 55 69 200"	Poland	"ul. Nowy Swiat 64"	Warszawa	00-357	"&lt;a href=&quot;http://www.stoart.org.pl&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.stoart.org.pl&lt;/a&gt;"	1994	"Union of Performing Artists STOART"	01/05/2003	Ordinary	"Performers-only CMO"
SWISSPERFORM	"+41 44 269 70 63"	"Switzerland "	"Kasernenstrasse 23"	Zurich	"CH - 8004"	"&lt;a href=&quot;http://www.swissperform.ch&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.swissperform.ch&lt;/a&gt;"	1993	SWISSPERFORM	05/01/1995	Ordinary	"Multi-rightholder CMO"
UBC	"+55 (21) 2223 3233"	Brazil	"Rua Do Rosario, 1 - 15? Andar - Centro"	"Centro - Rio de Janeiro"	20041-003	"&lt;a href=&quot;http://www.ubc.org.br&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.ubc.org.br&lt;/a&gt;"	1942	"Uniao Brasileira de Compositores"	01/05/2019	Ordinary	"Multi-rightholder CMO"
ULCRR	"+38 050 403 82 08"	Ukraine	"st. Andriy Abolmasov, 5, 2nd floor"	Kiev	02002	"&lt;a href=&quot;http://ulasp.com.ua/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://ulasp.com.ua/&lt;/a&gt;"	2010	"Ukrainian League of Copyright and Related Rights"	27/05/2021	Associated	"Multi-rightholder CMO"
VDFS	"+43 1 504 76 20"	Austria	"Lowelstrasse14, 1010 Vienna"	Wien	1010	"&lt;a href=&quot;https://www.vdfs.at&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.vdfs.at&lt;/a&gt;"		"Verwertungsgesellschaft der Filmschaffenden GenmbH"	01/05/2014	Ordinary	"Performers-only CMO"
VOIS	"+7 (495) 988 68 70"	Russia	"Zvenigorodskoe Shosse 9/27 bld.1"	Moscow	123022	"&lt;a href=&quot;http://www.rosvois.ru/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.rosvois.ru/&lt;/a&gt;"	2008	"Russian Organization for Intellectual Property Rights"	01/05/2013	Ordinary	"Multi-rightholder CMO"
